index,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
24238194,52:06.0,7.5,2015-05-07 19:52:06 UTC,-73.9998,40.73835,-73.9995,40.72322,1
27835199,04:56.0,7.7,2009-07-17 20:04:56 UTC,-73.9944,40.72823,-73.9947,40.75033,1
44984355,24-08-2009 21:45,12.9,2009-08-24 21:45:00 UTC,-74.005,40.74077,-73.9626,40.77265,1
25894730,22:21.0,5.3,2009-06-26 08:22:21 UTC,-73.9761,40.79084,-73.9653,40.80335,3
17610152,47:00.0,16,2014-08-28 17:47:00 UTC,-73.925,40.74409,-73.9731,40.76125,5
44470845,27:09.0,4.9,2011-02-12 02:27:09 UTC,-73.969,40.75591,-73.969,40.75591,1
48725865,04:00.0,24.5,2014-10-12 07:04:00 UTC,-73.9614,40.69397,-73.8712,40.7743,5
44195482,52:00.0,2.5,2012-12-11 13:52:00 UTC,0,0,0,0,1
15822268,32:00.0,9.7,2012-02-17 09:32:00 UTC,-73.9752,40.74577,-74.0027,40.74354,1
50611056,06:00.0,12.5,2012-03-29 19:06:00 UTC,-74.0011,40.74179,-73.963,40.77501,1
2205147,32:27.0,6.5,2015-05-22 17:32:27 UTC,-73.9744,40.74695,-73.9886,40.7298,1
6379048,15:00.0,8.5,2011-05-23 22:15:00 UTC,0,0,0,0,1
31892535,03:00.0,3.3,2011-05-17 14:03:00 UTC,-73.9664,40.80444,-73.9659,40.80713,5
13012786,19:00.0,10.9,2011-06-25 11:19:00 UTC,-73.9534,40.76738,-73.9725,40.79614,1
48411337,20:27.0,6.9,2010-04-06 22:20:27 UTC,-73.9734,40.75519,-73.9783,40.76638,1
46272151,33:00.0,9.7,2012-02-21 09:33:00 UTC,-73.9907,40.75192,-73.9731,40.74423,2
11875730,21:40.0,4.9,2011-09-01 09:21:40 UTC,-73.9889,40.75698,-73.9812,40.76005,1
1728270,58:27.0,10.5,2011-03-19 23:58:27 UTC,-74.0057,40.74114,-73.9778,40.74934,2
49173512,58:35.0,12,2015-03-25 08:58:35 UTC,-73.9625,40.76719,-73.9745,40.75386,1
33157445,20:00.0,4.9,2009-08-08 00:20:00 UTC,-73.9921,40.71963,-73.9853,40.72741,1
55085966,26:00.0,10.5,2014-02-18 14:26:00 UTC,-73.98,40.74599,-74.0034,40.75967,1
9843493,15:03.0,5,2015-03-03 23:15:03 UTC,-73.9892,40.72914,-73.9873,40.72063,2
47537124,58:00.0,4.1,2009-11-26 02:58:00 UTC,-74.0108,40.72609,-74.0098,40.7374,2
25121708,12:00.0,7.7,2010-09-04 16:12:00 UTC,-73.9943,40.73951,-73.9881,40.72448,2
37339061,32:00.0,12.9,2010-05-12 22:32:00 UTC,-73.973,40.76404,-74.0078,40.71499,5
49393874,52:18.0,9.5,2009-02-12 17:52:18 UTC,-73.9861,40.75716,-73.9761,40.78059,1
38755863,55:00.0,5,2014-01-21 06:55:00 UTC,-73.9578,40.77637,-73.9574,40.78287,1
41229643,37:19.0,12,2012-11-21 17:37:19 UTC,-73.9939,40.74155,-73.9879,40.77023,1
46387690,06:23.0,4.9,2009-05-06 20:06:23 UTC,-73.9778,40.76366,-73.9895,40.77297,1
45740211,52:00.0,7.3,2011-12-24 02:52:00 UTC,-73.9711,40.78783,-73.945,40.7843,5
31945670,00:00.0,25.7,2011-05-21 09:00:00 UTC,-73.9448,40.83437,-73.9893,40.72192,4
11844693,54:57.0,7.7,2009-02-28 15:54:57 UTC,-74.0042,40.71298,-73.9884,40.7251,1
33836728,09:00.0,10.5,2013-02-11 19:09:00 UTC,-73.9821,40.77139,-73.9596,40.76945,1
17967628,50:25.0,11,2013-09-10 20:50:25 UTC,-73.9912,40.74139,-74.0097,40.71645,2
19277743,49:00.0,39.5,2014-06-04 06:49:00 UTC,-73.7881,40.64219,-73.865,40.726,4
45314451,35:00.0,8.1,2009-06-05 05:35:00 UTC,-73.9887,40.75127,-73.9588,40.76464,3
18779733,31:00.0,5.7,2011-02-19 16:31:00 UTC,-74.0109,40.71081,-74.0012,40.71875,1
28150703,47:00.0,6.9,2011-08-31 19:47:00 UTC,-73.9687,40.755,-73.9873,40.73594,1
14631620,28:00.0,7.7,2010-05-18 21:28:00 UTC,-73.9684,40.75901,-73.9791,40.77757,3
38703737,57:00.0,29,2014-02-13 17:57:00 UTC,-73.9926,40.75317,-73.9085,40.81619,1
51671648,42:00.0,15.7,2010-04-01 14:42:00 UTC,-73.9734,40.78695,-73.9728,40.74355,1
16649523,58:32.0,9,2014-04-02 14:58:32 UTC,-73.9702,40.76502,-73.9628,40.77478,1
5218851,25:03.0,4.9,2011-02-01 15:25:03 UTC,-73.9871,40.75304,-73.9778,40.75183,1
4147756,43:36.0,5.4,2009-01-10 22:43:36 UTC,-73.9942,40.75123,-73.9983,40.74434,1
15145716,59:02.0,3.3,2012-07-12 00:59:02 UTC,-73.9824,40.7655,-73.9852,40.76281,1
41369172,28:42.0,8.9,2009-02-19 08:28:42 UTC,-73.9771,40.77927,-73.9705,40.75797,1
37192633,58:09.0,17,2014-01-16 14:58:09 UTC,-73.9939,40.75171,-73.9586,40.76039,1
21695280,17:47.0,12,2015-01-04 09:17:47 UTC,-73.9795,40.72731,-73.9849,40.76065,1
22405517,24:41.0,56.8,2013-01-03 22:24:41 UTC,-73.9935,40.76469,-73.9935,40.76469,1
54858310,57:00.0,13.5,2013-05-23 10:57:00 UTC,-73.962,40.80537,-73.9884,40.77014,1
33899076,25:00.0,7.7,2009-10-03 18:25:00 UTC,-73.9831,40.77606,-73.9741,40.7638,1
29966903,55:53.0,13.3,2011-08-15 13:55:53 UTC,-73.9859,40.7277,-73.9825,40.7719,1
26382712,19:00.0,14.9,2012-05-25 03:19:00 UTC,-73.9974,40.72082,-73.9556,40.78225,1
11666085,12:29.0,7.5,2012-12-09 02:12:29 UTC,-73.9378,40.85056,-73.9445,40.83496,1
9716818,27:00.0,16.9,2009-04-09 11:27:00 UTC,-73.9866,40.75914,-74.0018,40.72012,1
38092793,12:25.0,11,2014-11-13 20:12:25 UTC,-73.9589,40.81524,-73.9809,40.78261,1
1239488,41:05.0,6.5,2010-03-05 22:41:05 UTC,-73.9903,40.75618,-74.0037,40.75917,1
23077019,24:24.0,6.5,2009-01-09 14:24:24 UTC,-73.9681,40.76563,-73.9809,40.75916,1
6922345,01:00.0,5.3,2009-07-10 01:01:00 UTC,-73.9897,40.73451,-74.0018,40.74039,1
6479703,58:00.0,4.1,2009-02-02 16:58:00 UTC,-73.9543,40.77406,-73.9526,40.76633,2
48399259,52:03.0,9,2015-06-17 17:52:03 UTC,-73.9721,40.74989,-73.9819,40.73243,1
14960347,34:39.0,17.3,2011-10-30 11:34:39 UTC,-73.9753,40.7575,-74.0107,40.71172,3
1347588,20:00.0,6.5,2011-06-22 06:20:00 UTC,-73.9979,40.74981,-74.0034,40.75434,2
22364180,21:00.0,20,2013-10-19 20:21:00 UTC,-73.9775,40.78522,-73.986,40.73496,1
